Name,Division,Group,Department,Program Name,Course Name,Duration(in hrs),Completed,Enrollment Time,Completion Time,Learning Hours Spent,Course Grade,Skills Learned
Person_8,TSM,Khopoli Operations,Quality Khopoli,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_8,TSM,Khopoli Operations,Quality Khopoli,Six Sigma Yellow Belt Learning Program,Six Sigma Tools for Analyze,3.9,,,,,,Process; General Statistics; Probability; Analysis; Studentized Residual; Trigonometric Integral; Data Analysis; Six Sigma
Person_8,TSM,Khopoli Operations,Quality Khopoli,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,Yes,2023-05-25T12:54:51.000Z,2023-05-26T12:42:24.000Z,4.53,92.5,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_9,Raw Materials,O M & Q,Safety OMQ,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_9,Raw Materials,O M & Q,Safety OMQ,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,No,2023-03-16T07:58:50.000Z,,2.35,20,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_9,Raw Materials,O M & Q,Safety OMQ,Project Mgmt Learning Program-Generic,Initiating and Planning Projects,4.8,,,,,,Project; Planning; Project Management; Project Plan; Project Planning; Leadership and Management
Person_9,Raw Materials,O M & Q,Safety OMQ,Project Mgmt Learning Program-Generic,Budgeting and Scheduling Projects,3.6,,,,,,Schedule; Estimation; Budget; Project Management; Project; Planning; Cost; Leadership and Management
Person_9,Raw Materials,O M & Q,Safety OMQ,Project Mgmt Learning Program-Generic,Project Management Project,4.3,,,,,,Schedule; Risk; Project Plan; Budget; Risk Management; Project Management; Planning; Project; Leadership and Management
Person_9,Raw Materials,O M & Q,Safety OMQ,Project Mgmt Learning Program-Generic,Managing Project Risks and Changes,3,,,,,,Risk; Change Management; Risk Management; Project Management; Communication; Project; Planning; Leadership and Management
Person_10,Raw Materials,O M & Q,P&L - Joda,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_10,Raw Materials,O M & Q,P&L - Joda,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_10,Raw Materials,O M & Q,P&L - Joda,Business Communication Learning Program,Business Writing,9.2,,,,,,Grammar; Writing; Business Writing; Communication
Person_10,Raw Materials,O M & Q,P&L - Joda,Business Communication Learning Program,Graphic Design,4.7,,,,,,Typography; Graphic Design; Computer Graphics
Person_10,Raw Materials,O M & Q,P&L - Joda,Business Communication Learning Program,Effective Communication Capstone Project,4.4,,,,,,Grammar; Presentation; Business Writing; Speech; Public Speaking; Graphic Design; Computer Graphics; Writing; Communication; Project
Person_10,Raw Materials,O M & Q,P&L - Joda,Business Communication Learning Program,Successful Presentation,4.5,,,,,,Presentation; Speech; Public Speaking; Communication
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,"Make the Sale: Build, Launch, and Manage E-commerce Stores",6.4,,,,,,E-Commerce
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,From Likes to Leads: Interact with Customers Online,10.6,,,,,,Social Media; Social Media Platforms; Media Market; Marketing; Social Media Marketing; Digital Marketing; Strategy
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,Foundations of Digital Marketing and E-commerce,10.6,,,,,,Search Engine Optimization; Digital Marketing; Social Media; Market (Economics); Data Analysis; Marketing; Strategy; E-Commerce; Analysis; Social Media Marketing
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,Assess for Success: Marketing Analytics and Measurement,8.5,,,,,,Marketing; Analysis
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,Attract and Engage Customers with Digital Marketing,10.2,,,,,,Search Engine Optimization; Mathematical Optimization; Persona (User Experience); Digital Marketing; Marketing; Advertising
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,Think Outside the Inbox: Email Marketing,7.5,,,,,,Email; Email Marketing; Marketing Strategy; Marketing; Strategy
Person_11,M&S(FP),#,FP-M&S-Branded Products & Retail,Digital Marketing Learning Program,Satisfaction Guaranteed: Develop Customer Loyalty Online,5.9,,,,,,Search Engine Optimization; Interview; Email; Social Media; Media Market; Email Marketing; Digital Marketing; Google Analytics; Marketing; Social Media Marketing
Person_12,One IT,#,IT Shikhar,School of Analytics Basic for ONE IT,Data Analysis with Python,9.4,,,,,,Regression Analysis; Computer Programming; Linearity; Data Model; Data Analysis; Analysis; Regression; Modeling; Linear Regression; Python Programming
Person_12,One IT,#,IT Shikhar,School of Analytics Basic for ONE IT,Data Visualization with Python,7.6,,,,,,Map; Matplotlib; Python Programming; Data Visualization
Person_12,One IT,#,IT Shikhar,School of Analytics Basic for ONE IT,Applied Data Science Capstone,8.9,,,,,,Computer Programming; Data Analysis; Data Clustering Algorithms; Python Programming; Analysis; Algorithms; Cluster Analysis; Machine Learning; Data Visualization
Person_12,One IT,#,IT Shikhar,Design Thinking Learning Program,Design Thinking for Innovation,5.5,No,2023-02-21T03:36:56.000Z,,1.06,0,Design Thinking; Innovation; Leadership and Management
Person_12,One IT,#,IT Shikhar,School of Analytics Basic for ONE IT,Python for Data Science AI & Development,10,,,,,,Numpy; Python Libraries; Computer Programming; Python Programming
Person_13,TQM and E&P,Design & Engineering,D&E Equipment,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_13,TQM and E&P,Design & Engineering,D&E Equipment,Strategic Business Mgmt Learning Program,Strategic management: Be competitive,6.4,,,,,,Strategic Management; Leadership and Management
Person_13,TQM and E&P,Design & Engineering,D&E Equipment,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,Business Communication Learning Program,Graphic Design,4.7,,,,,,Typography; Graphic Design; Computer Graphics
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,Business Communication Learning Program,Business Writing,9.2,No,2023-03-09T06:34:26.000Z,,0.02,0,Grammar; Writing; Business Writing; Communication
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,Business Communication Learning Program,Effective Communication Capstone Project,4.4,No,2023-05-26T11:05:08.000Z,,0.16,0,Grammar; Presentation; Business Writing; Speech; Public Speaking; Graphic Design; Computer Graphics; Writing; Communication; Project
Person_14,"VP Corp. Finance, Treasury & Risk Mgmt.",Enterprise Risk Management,Enterprise Risk Management,Business Communication Learning Program,Successful Presentation,4.5,No,2023-05-29T07:06:04.000Z,,0.06,0,Presentation; Speech; Public Speaking; Communication
Person_15,One IT,#,Client Partner,School of Blockchain,Blockchain and Business,8.5,,,,,,BlockChain
Person_15,One IT,#,Client Partner,School of Blockchain,Blockchain Opportunity Analysis,5.8,,,,,,BlockChain; Analysis; Modeling; Leadership and Management
Person_15,One IT,#,Client Partner,School of Blockchain,Transacting on the Blockchain,5.9,,,,,,Cryptocurrency; BlockChain; Smart Contract; Finance
Person_15,One IT,#,Client Partner,School of Blockchain,Introduction to Blockchain Technologies,10.9,No,2023-05-02T09:14:57.000Z,,0.22,0,Bitcoin; Cryptocurrency; BlockChain
Person_16,VP One SC,Integrated Planning & Service,SPC & Service,Supply Chain Planning Learning Program,Supply Chain Planning,8.4,No,2023-03-25T09:54:32.000Z,,2.02,0,Supply Chain; Demand; Forecasting; Chaining; Planning
Person_16,VP One SC,Integrated Planning & Service,SPC & Service,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_16,VP One SC,Integrated Planning & Service,SPC & Service,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,Introduction to Deep Learning & Neural Networks with Keras,5.8,,,,,,Convolutional Neural Network; Artificial Neural Networks; Deep Learning; Keras
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,Deep Neural Networks with PyTorch,14,,,,,,Convolutional Neural Network; PyTorch; Human Learning; Artificial Neural Networks; Deep Learning
Person_17,One IT,#,Transformation,Leading Transformation Learn Prog ONE IT,From Idea to Startup,4.1,Yes,2023-03-04T10:13:02.000Z,2023-04-13T03:52:10.000Z,8.11,100,Planning; Entrepreneurship; I-Deas; Business Plan
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,Machine Learning with Python,12.3,No,2023-04-29T04:40:13.000Z,,3.13,15,Computer Programming; Algorithms; Analysis; Data Clustering Algorithms; Regression; Human Learning; Python Programming; Statistical Classification; Decision Tree; Machine Learning
Person_17,One IT,#,Transformation,Leading Transformation Learn Prog ONE IT,Leading transformations: Manage change,7.1,Yes,2023-03-16T10:54:23.000Z,2023-04-28T19:55:01.000Z,3.78,96.25,Change Management; Leadership; Leadership and Management
Person_17,One IT,#,Transformation,Design Thinking Learning Program,Design Thinking for Innovation,5.5,,,,,,Design Thinking; Innovation; Leadership and Management
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,AI Capstone Project with Deep Learning,5.1,,,,,,PyTorch; Artificial Neural Networks; Deep Learning; Keras; Human Learning
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,Building Deep Learning Models with TensorFlow,4.9,,,,,,Recurrent Neural Network; Deep Learning; Convolutional Neural Network; Artificial Neural Networks; Human Learning; Tensorflow; Autoencoder
Person_17,One IT,#,Transformation,AI Engineering Learning Program ONE IT,Scalable Machine Learning on Big Data using Apache Spark,7.8,,,,,,Apache; Apache Spark; Human Learning; Big Data; Machine Learning
Person_18,VP - GSP,Procurement,Bulk Commodities,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_18,VP - GSP,Procurement,Bulk Commodities,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_18,VP - GSP,Procurement,Bulk Commodities,Supply Chain Basics Learning Program,Supply Chain Principles,12.2,,,,,,Supply Chain; Warehouse Management; Chaining; Procurement; Process; Planning; Leadership and Management
Person_19,TSM,Angul Operation - IM,Sinter Plants,Data Viz Excel Cognos Learning Program,Data Visualization and Dashboards with Excel and Cognos,5.9,,,,,,Data Visualization; Data Analysis; Software; Microsoft Excel; Analysis
Person_19,TSM,Angul Operation - IM,Sinter Plants,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_19,TSM,Angul Operation - IM,Sinter Plants,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_20,VP One SC,Logistics,Logistics Operations (TSK),School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_20,VP One SC,Logistics,Logistics Operations (TSK),Supply Chain Basics Learning Program,Supply Chain Principles,12.2,,,,,,Supply Chain; Warehouse Management; Chaining; Procurement; Process; Planning; Leadership and Management
Person_20,VP One SC,Logistics,Logistics Operations (TSK),School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_21,TSM,Angul Operation - IM,Blast Furnaces,Data Viz Excel Cognos Learning Program,Data Visualization and Dashboards with Excel and Cognos,5.9,,,,,,Data Visualization; Data Analysis; Software; Microsoft Excel; Analysis
Person_21,TSM,Angul Operation - IM,Blast Furnaces,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_21,TSM,Angul Operation - IM,Blast Furnaces,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,No,2023-03-23T09:55:41.000Z,,1.2,22.5,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_22,HRM,HRM Center of Excellence (CoE),Productivity Services Department,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,Yes,2023-03-21T08:54:32.000Z,2023-04-06T06:59:37.000Z,6.2,73.88,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_22,HRM,HRM Center of Excellence (CoE),Productivity Services Department,Data-Based Decision Making Learning Prog,Exploring and Producing Data for Business Decision Making,18,No,2023-04-06T11:56:41.000Z,,2.94,18.53,Statistical Analysis; Data Analysis; Microsoft Excel; General Statistics; Analysis
Person_22,HRM,HRM Center of Excellence (CoE),Productivity Services Department,Data-Based Decision Making Learning Prog,Inferential and Predictive Statistics for Business,13.6,No,2023-04-05T08:40:18.000Z,,0,0,Predictive Analytics; Statistical Analysis; Statistical Hypothesis Testing; Hypothesis; Hypothesis Testing; Inference; Regression; General Statistics; Regression Analysis; Analysis
Person_22,HRM,HRM Center of Excellence (CoE),Productivity Services Department,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,Yes,2023-03-16T04:13:04.000Z,2023-03-21T06:58:26.000Z,5.35,92.5,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_23,TSM,Sahibabad Operations,Maintenance Sahibabad,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,,,,,,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_23,TSM,Sahibabad Operations,Maintenance Sahibabad,Supply Chain Basics Learning Program,Supply Chain Principles,12.2,No,2023-03-15T09:58:36.000Z,,0.52,0,Supply Chain; Warehouse Management; Chaining; Procurement; Process; Planning; Leadership and Management
Person_23,TSM,Sahibabad Operations,Maintenance Sahibabad,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_24,ED & CFO,Portfolio Management & FFI,Office of Chief Portfolio Mgmt. & FFI,Productivity Management Learning Program,Work Smarter Not Harder: Time Management for Personal & Professional Productivity,2.7,,,,,,Time Management; Planning; Leadership and Management
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,School of Analytics-Basic,Basic Data Descriptors Statistical Distributions and Application to Business Decisions,8.9,Yes,2023-02-07T10:31:36.000Z,2023-02-28T12:03:05.000Z,7.37,94.95,General Statistics; Statistical Analysis; Probability; Analysis; Studentized Residual; Chi-Squared Distribution; Probability Distribution; Microsoft Excel; Basic Descriptive Statistics
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,Yes,2023-02-07T10:27:38.000Z,2023-02-28T06:39:02.000Z,7.7,95,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,Project Mgmt Learning Program-Generic,Budgeting and Scheduling Projects,3.6,No,2023-05-07T09:36:14.000Z,,0.06,0,Schedule; Estimation; Budget; Project Management; Project; Planning; Cost; Leadership and Management
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,Project Mgmt Learning Program-Generic,Project Management Project,4.3,,,,,,Schedule; Risk; Project Plan; Budget; Risk Management; Project Management; Planning; Project; Leadership and Management
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,Project Mgmt Learning Program-Generic,Initiating and Planning Projects,4.8,Yes,2023-02-07T10:34:42.000Z,2023-05-07T09:10:08.000Z,3.68,100,Project; Planning; Project Management; Project Plan; Project Planning; Leadership and Management
Person_25,TQM and E&P,Projects & Construction TSK,Cold Rolling Mills - POG,Project Mgmt Learning Program-Generic,Managing Project Risks and Changes,3,,,,,,Risk; Change Management; Risk Management; Project Management; Communication; Project; Planning; Leadership and Management
Person_26,One IT,#,Automation,Smart Device Learning Program,Smart Device & Mobile Emerging Technologies,5.2,No,2023-05-01T13:43:43.000Z,,0.12,0,Not Calibrated
Person_27,Raw Materials,West Bokaro,Quarry AB &E,Business Communication Learning Program,Graphic Design,4.7,,,,,,Typography; Graphic Design; Computer Graphics
Person_27,Raw Materials,West Bokaro,Quarry AB &E,Business Communication Learning Program,Successful Presentation,4.5,,,,,,Presentation; Speech; Public Speaking; Communication
Person_27,Raw Materials,West Bokaro,Quarry AB &E,School of Analytics-Basic,Data – What It Is What We Can Do With It,5.8,,,,,,Data Visualization; Data Analysis; Analysis; Problem Solving
Person_27,Raw Materials,West Bokaro,Quarry AB &E,Business Communication Learning Program,Effective Communication Capstone Project,4.4,No,2023-03-23T18:51:37.000Z,,0,0,Grammar; Presentation; Business Writing; Speech; Public Speaking; Graphic Design; Computer Graphics; Writing; Communication; Project
Person_28,Iron Making,Coke Plants,Coke Plants,School of Visualization ONE IT,Fundamentals of Visualization with Tableau,8.1,No,2023-04-28T10:48:39.000Z,,0.58,0,Tableau Software; Data Visualization; Software
Person_28,Iron Making,Coke Plants,Coke Plants,School of Visualization ONE IT,Essential Design Principles for Tableau,11,,,,,,Principle; Tableau Software; Data Visualization; Software
